key_home,key_away,key_date,key_competition,key_referee,key_stadium,home_goals,away_goals,attendance
41,40,111,4,26,24,2,2,33000
29,34,111,4,38,15,1,1,16800
32,36,111,4,27,17,0,2,27300
27,44,111,4,29,13,3,2,34300
33,43,111,4,32,18,1,0,41600
42,28,111,4,34,25,1,2,41100
38,30,111,4,24,22,1,1,31800
25,35,111,4,33,,0,0,47700
27,35,31,4,26,13,2,2,40100
25,37,31,4,34,,0,0,44300
42,43,31,4,30,25,0,0,44700
26,28,31,4,25,12,4,2,35700
41,44,31,4,37,24,0,0,31200
29,40,31,4,29,15,1,0,16100
32,30,31,4,38,17,2,3,27500
39,34,31,4,27,,2,0,27300
38,36,32,4,39,22,1,2,36300
33,31,32,4,33,18,0,3,41100
36,26,33,4,24,21,2,3,60100
37,33,33,4,27,,1,0,24400
44,32,33,4,31,27,2,1,15900
30,42,33,4,39,,5,1,22200
35,29,33,4,32,20,2,0,74200
40,39,33,4,33,23,0,3,24200
34,41,33,4,30,19,3,0,43000
28,27,34,4,35,14,2,0,21800
43,25,34,4,36,26,1,4,25700
31,38,35,4,38,16,2,2,37300
27,36,36,4,31,13,2,4,38500
30,44,36,4,26,,2,2,25900
38,40,36,4,36,22,1,4,35200
43,37,36,4,39,26,1,1,24400
35,28,36,4,30,20,7,1,74900
39,25,36,4,38,,1,1,27400
41,29,36,4,27,24,3,1,34200
32,31,36,4,34,17,3,2,25100
42,33,37,4,25,25,1,1,46500
26,34,37,4,32,12,2,1,36300
36,43,39,4,33,21,2,1,60000
37,26,39,4,37,,1,1,25800
28,32,39,4,39,14,3,0,22300
33,38,39,4,30,18,1,1,41600
25,30,39,4,25,,1,0,46900
29,39,39,4,34,15,2,2,15100
40,42,40,4,26,23,3,1,23500
31,41,40,4,32,16,1,0,36900
34,27,41,4,24,19,3,0,39100
44,35,112,4,38,27,2,3,15600
27,40,42,4,27,13,2,1,37000
38,29,42,4,35,22,0,0,32900
43,31,42,4,40,26,0,0,24500
39,44,42,4,29,,0,1,26900
41,25,42,4,24,24,1,3,32800
42,34,42,4,36,25,3,1,50100
30,28,43,4,31,,2,1,24500
32,37,43,4,32,17,1,0,25200
26,33,43,4,26,12,1,1,35800
35,36,44,4,39,20,1,0,75200
31,30,45,4,33,16,1,0,35100
28,41,45,4,26,14,1,1,21900
25,38,47,4,38,,1,2,45000
29,27,112,4,41,15,1,2,16000
34,43,113,4,30,19,1,0,40500
37,42,114,4,36,,0,2,28300
40,32,67,4,26,23,1,1,26200
44,26,115,4,33,27,3,1,16100
36,39,116,4,38,21,1,0,60000
33,35,72,4,32,18,2,1,41800
43,41,117,4,27,26,1,3,25300
28,39,117,4,34,14,0,2,25400
30,40,117,4,39,,2,0,23400
35,31,117,4,24,20,2,0,75300
42,25,117,4,33,25,1,3,51600
32,29,117,4,26,17,1,2,26900
27,26,117,4,32,13,1,2,39400
36,33,118,4,31,21,3,1,60100
44,34,119,4,35,27,2,1,16100
38,37,120,4,38,22,1,1,34000
25,27,121,4,35,,4,0,46700
39,43,121,4,37,,0,2,27000
31,44,121,4,25,16,0,2,42900
26,42,121,4,29,12,2,0,35900
40,28,121,4,24,23,1,3,24400
